datestr,auth_state,mega_region,marketplace,sub_marketplace,psp_name,num_trips_authed
2018-10-05,FAILED,India SA,personal_transport,U4B-Unmanaged,paytm,1
2018-10-06,VOIDED,EMEA,agora,U4B-Unmanaged,braintree,6
2018-07-06,FAILED,LatAm,personal_transport,U4B-Unmanaged,braintree,17
2018-07-06,UNAPPLIED,US & Canada,personal_transport,U4B-Managed-Decentralized,other,57
2018-07-08,APPLIED,US & Canada,personal_transport,U4B-Managed-Decentralized,paypal,50
2018-07-08,UNAPPLIED,APACX,personal_transport,U4B-Managed-Centralized-Missing,braintree,18
2018-07-09,DROPPED,US & Canada,agora,Not_Avlbl,braintree,86
2018-07-09,UNAPPLIED,India SA,personal_transport,U4B-Managed-Centralized-Missing,braintree,67
2018-07-09,VOIDED,US & Canada,personal_transport,U4B-Managed-Decentralized,paypal,9
2018-07-11,UNAPPLIED,EMEA,agora,U4B-Unmanaged,braintree,822
2018-07-21,FAILED,EMEA,personal_transport,U4B-Unmanaged,paypal,4
2018-07-26,DROPPED,US & Canada,personal_transport,U4B-Unmanaged,other,1
2018-07-26,UNAPPLIED,APACX,personal_transport,U4F,braintree,1614
2018-07-27,UNAPPLIED,India SA,personal_transport,U4F,braintree,255
2018-07-28,PENDING,APACX,personal_transport,U4B-Managed-Decentralized,braintree,21
2018-07-29,PENDING,India SA,personal_transport,U4B-Managed-Decentralized,braintree,32
2018-07-30,VOIDED,India SA,personal_transport,U4B-Managed-Decentralized,braintree,11
2018-08-03,APPLIED,EMEA,agora,U4B-Unmanaged,braintree,803
2018-08-03,FAILED,EMEA,agora,Not_Avlbl,braintree,35
2018-08-04,VOIDED,EMEA,agora,U4B-Unmanaged,braintree,1
2018-08-05,FAILED,EMEA,personal_transport,U4B-Managed-Centralized,paypal,1
2018-08-18,APPLIED,APACX,personal_transport,U4F,braintree,2035
2018-08-19,APPLIED,India SA,personal_transport,U4F,braintree,162
2018-08-19,VOIDED,APACX,personal_transport,U4F,braintree,54
2018-08-21,UNAPPLIED,APACX,personal_transport,U4B-Managed-Decentralized,braintree,42
2018-08-22,UNAPPLIED,India SA,personal_transport,U4B-Managed-Decentralized,braintree,64
2018-08-26,UNAPPLIED,EMEA,personal_transport,U4B-Managed-Decentralized,braintree,199
2018-08-28,PENDING,LatAm,personal_transport,U4B-Managed-Centralized,paypal,18
2018-08-31,PENDING,LatAm,Not_Avlbl,Not_Avlbl,paypal,10
2018-09-01,FAILED,APACX,personal_transport,U4B-Unmanaged,paypal,1
2018-09-13,APPLIED,APACX,personal_transport,U4B-Managed-Decentralized,braintree,77
2018-09-14,APPLIED,India SA,personal_transport,U4B-Managed-Decentralized,braintree,39
2018-09-14,VOIDED,APACX,personal_transport,U4B-Managed-Decentralized,braintree,8
2018-09-15,DROPPED,India SA,agora,U4B-Unmanaged,paytm,10
2018-09-15,VOIDED,India SA,personal_transport,U4B-Managed-Decentralized,braintree,4
2018-09-18,APPLIED,EMEA,personal_transport,U4B-Managed-Decentralized,braintree,526
2018-09-19,VOIDED,EMEA,personal_transport,U4B-Managed-Decentralized,braintree,85
2018-09-21,UNAPPLIED,LatAm,personal_transport,U4B-Managed-Centralized,paypal,13
2018-09-23,DROPPED,US & Canada,personal_transport,U4F,braintree,11
2018-09-28,PENDING,US & Canada,personal_transport,Not_Avlbl,other,149886
2018-09-30,VOIDED,LatAm,personal_transport,U4B-Unmanaged,paypal,382
2018-10-07,DROPPED,EMEA,personal_transport,U4B-Managed-Decentralized,other,1
2018-10-10,DROPPED,LatAm,agora,Not_Avlbl,paypal,6
2018-10-12,PENDING,APACX,personal_transport,Not_Avlbl,braintree,95476
2018-10-13,PENDING,India SA,personal_transport,Not_Avlbl,braintree,17208
2018-07-03,PENDING,US & Canada,personal_transport,U4B-Unmanaged,other,2022
2018-07-04,UNAPPLIED,APACX,agora,Not_Avlbl,paypal,15776
2018-07-05,UNAPPLIED,LatAm,personal_transport,U4B-Managed-Centralized-Missing,braintree,1699
2018-07-06,APPLIED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paypal,101
2018-07-07,APPLIED,India SA,agora,Not_Avlbl,paytm,28754
2018-07-07,VOIDED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paypal,72061
2018-07-08,VOIDED,India SA,agora,Not_Avlbl,paytm,91
2018-07-09,UNAPPLIED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paytm,241036
2018-07-13,UNAPPLIED,Not_Avlbl,Not_Avlbl,Not_Avlbl,other,8059
2018-07-16,APPLIED,US & Canada,agora,U4B-Unmanaged,braintree,3101
2018-07-16,FAILED,US & Canada,agora,Not_Avlbl,braintree,36
2018-07-17,UNAPPLIED,APACX,personal_transport,Not_Avlbl,braintree,61707
2018-07-17,VOIDED,US & Canada,agora,U4B-Unmanaged,braintree,10
2018-07-18,UNAPPLIED,EMEA,agora,Not_Avlbl,paypal,10766
2018-07-22,PENDING,EMEA,personal_transport,U4B-Managed-Centralized,braintree,760
2018-07-23,UNAPPLIED,LatAm,personal_transport,U4F,braintree,21993
2018-08-02,UNAPPLIED,India SA,personal_transport,U4B-Managed-Centralized-Missing,paytm,2
2018-08-06,VOIDED,Not_Avlbl,Not_Avlbl,Not_Avlbl,other,7110
2018-08-07,PENDING,APACX,personal_transport,U4B-Managed-Centralized-Missing,paypal,3
2018-08-09,UNAPPLIED,US & Canada,agora,U4B-Unmanaged,braintree,3627
2018-08-10,PENDING,EMEA,agora,U4B-Unmanaged,paypal,56
2018-08-13,VOIDED,EMEA,personal_transport,U4B-Managed-Centralized-Missing,paypal,2
2018-08-15,APPLIED,LatAm,personal_transport,U4F,braintree,23754
2018-08-16,VOIDED,LatAm,personal_transport,U4F,braintree,5274
2018-08-19,FAILED,US & Canada,personal_transport,U4B-Unmanaged,paypal,2
2018-08-22,PENDING,India SA,personal_transport,U4B-Managed-Decentralized,paytm,2066
2018-08-23,PENDING,EMEA,personal_transport,U4B-Unmanaged,braintree,13518
2018-08-25,PENDING,APACX,personal_transport,U4F,paypal,18
2018-08-30,PENDING,EMEA,personal_transport,U4B-Managed-Decentralized,other,1
2018-08-31,FAILED,EMEA,agora,U4B-Unmanaged,paypal,1
2018-08-31,VOIDED,EMEA,personal_transport,U4F,paypal,19
2018-09-01,DROPPED,US & Canada,agora,Not_Avlbl,paypal,7
2018-09-03,PENDING,India SA,personal_transport,U4B-Managed-Centralized,braintree,170
2018-09-07,PENDING,EMEA,personal_transport,U4B-Managed-Centralized,braintree,2512
2018-09-08,UNAPPLIED,LatAm,personal_transport,U4F,braintree,23871
2018-09-13,DROPPED,LatAm,personal_transport,U4B-Managed-Centralized,braintree,9
2018-09-13,FAILED,India SA,agora,U4B-Unmanaged,paytm,67
2018-09-20,PENDING,APACX,personal_transport,U4B-Managed-Decentralized,paypal,24
2018-09-25,PENDING,EMEA,personal_transport,U4B-Managed-Decentralized,paypal,28
2018-09-29,DROPPED,APACX,personal_transport,Not_Avlbl,other,2
2018-09-30,FAILED,US & Canada,personal_transport,U4F,braintree,58
2018-10-10,UNAPPLIED,US & Canada,agora,Not_Avlbl,paypal,39250
2018-07-06,APPLIED,LatAm,personal_transport,U4B-Unmanaged,braintree,44846
2018-07-06,FAILED,LatAm,personal_transport,Not_Avlbl,braintree,583
2018-07-07,VOIDED,LatAm,personal_transport,U4B-Unmanaged,braintree,7459
2018-07-13,UNAPPLIED,EMEA,personal_transport,U4B-Managed-Centralized,paypal,5
2018-07-16,UNAPPLIED,LatAm,personal_transport,U4B-Managed-Decentralized,paypal,4
2018-07-20,UNAPPLIED,India SA,personal_transport,U4B-Unmanaged,paytm,17454
2018-07-26,DROPPED,US & Canada,personal_transport,Not_Avlbl,other,26
2018-07-27,UNAPPLIED,APACX,agora,U4B-Unmanaged,braintree,526
2018-07-30,APPLIED,EMEA,personal_transport,U4B-Unmanaged,paypal,341
2018-07-30,DROPPED,India SA,agora,Not_Avlbl,paytm,181
2018-07-30,FAILED,EMEA,personal_transport,Not_Avlbl,paypal,47
2018-07-31,VOIDED,EMEA,personal_transport,U4B-Unmanaged,paypal,1054
2018-08-01,UNAPPLIED,Not_Avlbl,Not_Avlbl,Not_Avlbl,braintree,434508
2018-08-01,VOIDED,APACX,personal_transport,U4B-Managed-Centralized,paypal,20
2018-08-06,VOIDED,EMEA,personal_transport,U4B-Managed-Centralized,paypal,7
2018-08-07,PENDING,US & Canada,personal_transport,U4F,paypal,12
2018-08-08,APPLIED,LatAm,personal_transport,U4B-Managed-Decentralized,paypal,10
2018-08-09,VOIDED,LatAm,personal_transport,U4B-Managed-Decentralized,paypal,5
2018-08-10,PENDING,India SA,personal_transport,U4B-Managed-Centralized-Missing,braintree,39
2018-08-12,APPLIED,EMEA,agora,Not_Avlbl,braintree,155648
2018-08-12,APPLIED,India SA,personal_transport,U4B-Unmanaged,paytm,9635
2018-08-12,FAILED,India SA,personal_transport,Not_Avlbl,paytm,28
2018-08-13,VOIDED,India SA,personal_transport,U4B-Unmanaged,paytm,44
2018-08-15,PENDING,APACX,personal_transport,U4B-Unmanaged,other,27
2018-08-16,PENDING,India SA,personal_transport,U4B-Unmanaged,other,52
2018-08-19,APPLIED,APACX,agora,U4B-Unmanaged,braintree,589
