datestr,mega_region,marketplace,token_type,cb_1d_amt,cb_7d_amt,cb_14d_amt,cb_21d_amt,cb_28d_amt,dns_1d_amt,dns_7d_amt,dns_14d_amt,dns_21d_amt,dns_28d_amt
2018-09-25,US & Canada,personal_transport,google_pay,0.0,0.0,45.28,74.94,74.94,805.2655302033112,658.2304159638079,631.8304159638078,0.0,0.0
2018-08-25,US & Canada,personal_transport,braintree,108.50999999999999,6728.271884513631,50123.56162417085,85791.63762684925,118651.13256454334,403728.91622620815,207244.91976755727,173027.65259382655,160214.6188393301,152910.02100868602
2018-08-24,India SA,personal_transport,upi,0.0,0.0,44.17181272844845,232.74440258292935,337.1320174090907,12509.463134157631,3866.1118632269063,2488.007040983227,2091.7961235930297,1869.429904273327
2018-09-05,India SA,agora,upi,0.0,0.0,0.0,0.0,0.0,3.064820026192883,3.064820026192883,3.064820026192883,3.064820026192883,3.064820026192883
2018-08-08,APACX,personal_transport,braintree,0.0,177.78473826376572,1378.9041609821547,6497.885850865912,7907.2547638062515,86579.11891531947,28900.135735587406,17340.096073196455,13937.965469803692,11893.246852109854
2018-08-23,APACX,agora,braintree,0.0,52.78029342510415,1146.7415323310995,2830.508965767072,3993.940163487652,31328.527060082768,11511.210727659642,8205.941733419811,7074.287768443323,6441.173533761486
2018-09-26,US & Canada,agora,zaakpay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08,LatAm,personal_transport,alipay2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05,APACX,agora,braintree,0.0,34.98450744161197,157.5007960221016,157.5007960221016,157.5007960221016,50564.519076440534,19252.372017491638,0.0,0.0,0.0
2018-09-08,US & Canada,personal_transport,stored_value,0.0,0.0,15.0,15.0,15.0,10143.728019454145,8958.228019454147,7034.732791068227,6968.655614852256,6957.7256148522565
2018-08-22,India SA,personal_transport,jio_money,0.0,0.0,22.014701332735505,128.515007157279,142.12296848804974,305.22086465503185,230.4177328884011,229.8972315517112,229.8972315517112,229.8972315517112
2018-09-14,LatAm,personal_transport,apple_pay_display,0.0,0.0,0.0,0.0,0.0,2.3307253778551797,2.3307253778551797,2.3307253778551797,2.3307253778551797,0.5
2018-09-01,India SA,\N,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-25,LatAm,agora,zaakpay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06,India SA,personal_transport,upi,0.0,0.0,0.0,0.0,0.0,15056.4587521468,5959.253641846423,0.0,0.0,0.0
2018-09-06,APACX,agora,stored_value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-13,APACX,agora,kcp,0.0,0.0,0.0,0.0,0.0,315.56131440889794,225.4391424124584,213.22674126160558,213.22674126160558,213.22674126160558
2018-08-17,EMEA,personal_transport,braintree,0.0,430.20796583705624,2934.0686129956284,5952.860717862763,8121.322940804473,177867.4795737542,74843.13438748963,46914.60079265607,36104.76987936938,31530.34559283525
2018-09-23,US & Canada,agora,stored_value,0.0,0.0,0.0,2.35,2.35,1067.02,683.52,77.75999999999999,51.760000000000005,0.0
2018-09-15,US & Canada,personal_transport,kcp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06,India SA,personal_transport,alipay2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-13,APACX,agora,paypal,0.0,0.0,0.0,33.81659891355182,33.81659891355182,315.7164918508933,139.16739278705182,73.81573062091721,73.81573062091721,73.81573062091721
2018-10-11,US & Canada,agora,stored_value,0.0,0.0,0.0,0.0,0.0,950.33,0.0,0.0,0.0,0.0
2018-09-13,LatAm,agora,derivative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,India SA,personal_transport,braintree,0.0,0.0,63.81181019936243,106.15824064042471,163.0090797812979,398.9136220476335,299.86593170121,288.1146429394278,286.42858535898523,284.2483518048918
2018-10-02,LatAm,personal_transport,apple_pay_display,0.0,0.0,0.0,0.0,0.0,1.7762435544562016,1.7762435544562016,0.0,0.0,0.0
2018-09-15,US & Canada,personal_transport,paypal,824.73,1312.8600000000001,1580.7599999999998,1734.0,1968.35,5652.850984635737,3736.587770107029,3400.7668288584177,3221.5868288584184,3127.522504710179
2018-09-21,US & Canada,\N,stored_value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-27,LatAm,agora,braintree,0.0,0.0,54.171256074968106,271.2899058546959,616.1316284954704,3632.192650256513,2474.3199689144876,2161.7046431036692,2131.3511535638204,2113.138578776433
2018-10-03,APACX,\N,braintree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-03,LatAm,\N,braintree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-04,India SA,personal_transport,\N,0.0,0.0,0.0,0.0,0.0,1.379259210824368,0.689629605412184,0.689629605412184,0.689629605412184,0.689629605412184
2018-09-05,LatAm,personal_transport,\N,0.0,0.0,0.0,0.0,0.0,1.4477374035987858,0.0,0.0,0.0,0.0
2018-10-13,EMEA,personal_transport,paytm,0.0,0.0,0.0,0.0,0.0,8.07291274919659,0.0,0.0,0.0,0.0
2018-10-03,LatAm,personal_transport,android_pay,0.0,0.0,0.0,0.0,0.0,12.09,12.09,0.0,0.0,0.0
2018-08-03,APACX,personal_transport,zaakpay,0.0,0.0,0.0,0.0,84.9646597343004,107.95988602301742,107.95988602301742,18.339932649964844,18.339932649964844,18.339932649964844
2018-09-19,India SA,personal_transport,stored_value,0.0,0.0,0.0,0.0,0.0,1.460437128582416,1.460437128582416,1.460437128582416,1.460437128582416,0.0
2018-08-08,APACX,agora,braintree,0.0,95.89677803186643,855.4855262424005,2620.4054175378133,3574.2022251647013,30591.46619045641,11097.579987527186,7593.224121098685,6897.184402948522,6330.9431645964305
2018-08-19,India SA,personal_transport,zaakpay,0.0,26.998503072024363,26.998503072024363,26.998503072024363,26.998503072024363,41843.10586108357,27275.74109851866,22893.74534208525,20833.996007631766,19616.44201592572
2018-08-09,India SA,personal_transport,upi,0.0,0.0,24.8915432665666,178.67881201306028,191.0556354099447,7201.222119222351,2818.5979393845914,1754.0911498040937,1467.4690366067553,1309.2615202152342
2018-10-05,EMEA,personal_transport,paypal,0.0,0.0,0.0,0.0,0.0,9248.16881761888,3868.4617887219138,0.0,0.0,0.0
2018-08-20,APACX,personal_transport,paypal,0.0,0.0,36.75199559592623,36.75199559592623,36.75199559592623,3034.240206969839,605.5308762421018,300.33744394646146,222.68189484564584,203.64895604392092
2018-09-19,EMEA,agora,zaakpay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-26,APACX,personal_transport,stored_value,0.0,0.0,0.0,0.0,0.0,23.166583797911706,23.166583797911706,23.166583797911706,23.166583797911706,23.166583797911706
2018-09-18,India SA,personal_transport,upi_hdfc,0.0,0.0,0.0,0.0,0.0,3.7730090892024157,3.7730090892024157,3.7730090892024157,3.7730090892024157,0.0
2018-09-26,India SA,agora,cash,0.0,0.0,0.0,0.0,0.0,18343.25888508368,18159.241139089703,18080.77556162218,0.0,0.0
2018-09-03,US & Canada,personal_transport,paypal,2463.9700000000003,3323.84,3785.09,3949.14,4120.72,3945.736863156725,2079.0432310371207,1649.6264876731996,1649.6264876731996,1627.5164876731997
2018-09-18,US & Canada,personal_transport,alipay2,0.0,0.0,0.0,30.11,30.11,185.13993119663886,71.22,71.22,71.22,0.0
2018-09-01,APACX,agora,paypal,0.0,0.0,0.0,22.975627856672354,36.27919954206949,307.98663499101775,152.4937889217674,116.63996364169813,90.82384345219775,73.24155546798369
2018-09-01,India SA,\N,paytm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-20,US & Canada,personal_transport,paytm,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0
2018-09-03,US & Canada,personal_transport,android_pay,0.0,0.0,0.0,150.0,150.0,4181.244487474657,1462.2630675539979,1241.933067553998,1157.3030675539978,1117.5030675539979
2018-09-28,EMEA,agora,stored_value,0.0,0.0,0.0,0.0,0.0,1.1621488131555247,0.0,0.0,0.0,0.0
2018-08-04,APACX,personal_transport,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-17,LatAm,agora,apple_pay_display,0.0,0.0,0.0,0.0,0.0,8.1968567698435,8.1968567698435,8.1968567698435,8.1968567698435,8.1968567698435
2018-08-28,India SA,agora,zaakpay,0.0,0.0,0.0,0.0,0.0,5.049915267161107,5.049915267161107,5.049915267161107,0.8248631926901142,0.8248631926901142
2018-08-28,LatAm,personal_transport,braintree,0.0,58.13481912175895,264.33077947745045,767.7610340679123,1243.9318271202521,97120.9802991037,38904.94297827831,25661.85014018055,21664.96084947091,19849.09254514535
2018-09-10,EMEA,personal_transport,apple_pay,0.0,0.0,0.0,0.0,0.0,8785.723922027488,4026.7195564117123,3277.187073294498,2686.9427424880187,2601.4048374044737
2018-08-05,EMEA,personal_transport,android_pay,0.0,0.0,0.0,0.0,0.0,3234.153810477246,1738.8948004780086,1495.6083035393192,1443.6429262638871,1170.3937276240863
2018-08-19,US & Canada,agora,braintree,0.0,4981.830153755682,16757.303753873817,26015.038477664693,33422.162582741556,76482.21244351564,34798.06162929022,23983.211550381526,20353.158908185393,18531.714734700923
2018-09-26,India SA,personal_transport,jio_money,0.0,0.0,0.0,0.0,0.0,25.58758761720844,25.58758761720844,25.022619696087006,0.0,0.0
2018-10-04,APACX,agora,kcp_bank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-18,India SA,agora,upi,0.0,0.0,0.0,0.0,0.0,3.3492804386489485,3.3492804386489485,3.3492804386489485,3.3492804386489485,0.0
2018-09-18,EMEA,personal_transport,cash,0.0,0.0,0.0,0.0,0.0,25257.082199142264,18947.49071885154,16197.659943096809,14959.682756525235,0.0
2018-08-04,India SA,agora,paytm,0.0,0.0,0.0,0.0,0.0,7900.9426920870565,7512.6468075161865,7381.041261468475,7323.858039664658,7278.004430900939
2018-09-06,LatAm,agora,cash,0.0,0.0,0.0,0.0,0.0,3247.700191381059,2901.0243824094528,2825.064286911709,2802.7907211972056,2705.225105170652
2018-08-25,LatAm,personal_transport,cash,0.0,0.0,0.0,0.0,0.0,74824.73005010576,52496.21195027164,39148.83990416429,33824.6847091673,30521.76305777897
2018-08-19,LatAm,personal_transport,google_pay,0.0,0.0,6.294647062621523,6.294647062621523,6.294647062621523,244.12775728120545,186.51078958316043,182.32567969885264,182.32567969885264,182.32567969885264
2018-09-28,US & Canada,personal_transport,venmo,0.0,0.0,0.0,0.0,0.0,729.3000000000001,665.13,628.97,0.0,0.0
2018-09-24,US & Canada,\N,braintree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-02,LatAm,agora,zaakpay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-14,EMEA,personal_transport,zaakpay,0.0,0.0,49.01535621209838,49.01535621209838,49.01535621209838,962.0691427227788,716.151151852552,705.159268332535,690.075784059057,655.0818683711963
2018-08-21,LatAm,personal_transport,zaakpay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-02,APACX,personal_transport,stored_value,0.0,0.0,0.0,0.0,0.0,19.12737205290397,19.12737205290397,6.433294997124784,6.433294997124784,6.433294997124784
2018-09-21,India SA,personal_transport,cash,0.0,0.0,0.0,0.0,0.0,20299.858670749763,16214.490301582042,14461.289791364614,13468.25875332223,0.0
2018-08-12,US & Canada,agora,zaakpay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-15,India SA,personal_transport,google_pay,0.0,0.0,0.0,0.0,0.0,108.40781726214978,108.40781726214978,108.40781726214978,108.40781726214978,108.40781726214978
2018-10-06,EMEA,agora,cash,0.0,0.0,0.0,0.0,0.0,273.0311512067742,157.54198268732074,0.0,0.0,0.0
2018-08-03,APACX,personal_transport,alipay2,0.0,0.0,0.0,0.0,0.0,170.3085033538888,128.72170692122032,118.13812996825435,54.44021097926771,54.44021097926771
2018-08-07,India SA,personal_transport,google_pay,0.0,0.0,0.0,0.0,0.0,0.6762546649406453,0.6762546649406453,0.6762546649406453,0.6762546649406453,0.6762546649406453
2018-08-13,India SA,personal_transport,cash,0.0,0.0,0.0,0.0,0.0,20809.50629770327,16430.631699814498,14446.069497784787,13377.377297403456,12676.638900256527
2018-08-18,US & Canada,personal_transport,google_pay,0.0,0.0,363.66,395.0,687.0500000000002,16450.581475140447,16194.557677609202,16123.817677609204,16123.817677609204,16117.417677609206
2018-08-06,EMEA,personal_transport,zaakpay,0.0,0.0,0.0,0.0,0.0,401.0106101082056,263.74626037528304,263.74626037528304,224.17889727614792,224.17889727614792
2018-09-13,APACX,personal_transport,derivative,0.0,0.0,0.0,0.0,0.0,22.90894700867,0.0,0.0,0.0,0.0
2018-09-08,LatAm,personal_transport,google_pay,0.0,0.0,4.15520339813756,22.621562971828695,22.621562971828695,317.76728693842784,206.440011502636,198.70972696274967,198.70972696274967,182.9894884403512
2018-08-20,US & Canada,personal_transport,alipay2,0.0,0.0,0.0,0.0,0.0,27.89,13.31,0.0,0.0,0.0
2018-09-29,EMEA,personal_transport,apple_pay,0.0,0.0,0.0,0.0,0.0,16368.547312394594,10367.914382149429,6575.98699291889,0.0,0.0
2018-09-14,LatAm,personal_transport,cash,0.0,0.0,0.0,0.0,0.0,65617.94727479838,43334.70717814917,34897.694913269996,30197.177362825503,27163.092849296536
2018-08-11,LatAm,agora,braintree,0.0,0.0,186.49458405089757,335.00728411092155,677.84127648817,3965.1040831039927,2496.2848569309517,2335.163718602971,2061.9287793595304,1875.4149774985212
2018-08-05,APACX,personal_transport,android_pay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13,US & Canada,personal_transport,braintree,0.0,0.0,0.0,0.0,0.0,515767.94356389705,0.0,0.0,0.0,0.0
2018-09-07,EMEA,agora,paypal,0.0,0.0,0.0,0.0,0.0,632.5283929066469,424.28092861285705,392.62431884194757,345.73982938545487,343.42552350364645
2018-09-03,India SA,personal_transport,stored_value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
